代码,名称,实际控制人,控制人类型,控制人简介,证监会行业,Wind行业
603797.SH,联泰环保,黄建勲,个人,"黄建勲先生,1974年4月出生,中国国籍,无境外永久居留权.大专学历,高级工程师.1994年至1999年任达濠市政总经理;1999年至2005年任联泰集团深圳办事处主任;2005年至2008年任深圳市联泰房地产开发有限公司董事长兼总经理;2008年至今任联泰集团董事长,联泰投资董事长兼总经理.现任本公司董事长.",CSRC生态保护和环境治理业,Wind商业和专业服务
603797.SH,联泰环保,黄婉茹,个人,"黄婉茹女士,1973年2月出生,中国国籍,无境外永久居留权.MBA学历,经济师.1996年至1999年任汕头联泰(集团)有限公司财务部经理;1999年至2008年任联泰集团常务副总经理兼财务部经理;2008年至今任联泰集团常务副总经理,总经理.现任本公司副董事长.",CSRC生态保护和环境治理业,Wind商业和专业服务
603798.SH,康普顿,朱梅珍,个人,"中国国籍,无境外永久居留权,1952年出生,初中学历.曾就职于贵州省六盘水市牧场小学,河南省长葛县华侨公司,河南省长葛县金属公司,青岛华侨实业股份有限公司华联化学厂,青岛王冠石油化学有限公司和山东省汽车贸易公司青岛分公司等单位.现任本公司董事长,路邦石油化工执行董事,总经理.",CSRC石油加工、炼焦及核燃料加工业,Wind能源Ⅱ
603798.SH,康普顿,朱振华,个人,"朱振华先生,中国国籍,无永久境外居留权,身份证号码为37020419520426****,住址为山东省青岛市市南区徐州路2号15号楼5单元701户.",CSRC石油加工、炼焦及核燃料加工业,Wind能源Ⅱ
603799.SH,华友钴业,谢伟通,境外,"谢伟通先生,男,1957年出生,中国台湾籍.曾在千海企业有限公司,台湾弘如洋生技股份有限公司任职.现任公司副董事长,大山公司董事长,碧伦公司董事长,碧伦生技股份有限公司董事及总经理.",CSRC有色金属冶炼及压延加工,Wind材料Ⅱ
603799.SH,华友钴业,陈雪华,个人,"陈雪华先生,男,1961年出生,中国国籍,无境外永久居留权,高级经济师,卢本巴希大学名誉博士.曾在桐乡市炉头乡翔厚村村办化工厂,桐乡市华信化工厂工作,曾任公司副董事长,2002年6月至今任公司董事长兼总经理.陈雪华先生目前还兼任华友投资,力科钴镍,华友衢州董事长,宁波紫鑫执行董事兼总经理,COMMUS公司,MIKAS公司,CDM公司董事,中国有色金属工业协会钴业分会副会长.曾获嘉兴市走新型工业化道路带头人,桐乡市优秀企业家,嘉兴市优秀共产党员,嘉兴市劳动模范等荣誉称号.",CSRC有色金属冶炼及压延加工,Wind材料Ⅱ
603800.SH,道森股份,舒志高,个人,"舒志高:中国国籍,拥有美国永久居留权.1959年出生,1983年7月毕业于太原重型机械学院(现太原科技大学)锻压工艺及设备专业,本科学历,高级工程师.本公司创始人之一,1983年9月参加工作,曾任苏州阀门厂(现中核苏阀科技实业股份有限公司)副厂长,苏州纽威机械有限公司总经理,2001年10月起创办道森有限.现任本公司董事长,道森投资董事长,宝业公司董事长,科创投资执行董事,宝业锻造董事长,道森油气董事长,道森阀门董事,南通道森董事长,美国道森执行董事及总裁,财务官,马斯特阀门董事长.",CSRC专用设备制造业,Wind能源Ⅱ
603803.SH,瑞斯康达,王剑铭,个人,"王剑铭,董事,男,中国国籍,无境外永久居留权,1964年10月出生,毕业于北方交通大学通信与电子系,计算机硕士.曾任华北计算技术研究所工程师.2000年1月至2001年6月任北京瑞斯康达科技发展有限公司董事;2001年7月至2004年3月任北京瑞斯康达科技发展有限公司技术总监;2004年4月至2008年6月任北京瑞斯康达科技发展有限公司董事,技术总监;2008年7月至今任瑞斯康达科技发展股份有限公司董事,副总经理;2011年9月至今任北京比邻信通科技有限责任公司董事;2011年12月至今任瑞斯康达国际有限公司董事;2013年7月至今任深圳瑞斯康达科技发展有限公司执行董事.",CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
603803.SH,瑞斯康达,任建宏,个人,"任建宏,董事,男,中国国籍,无境外永久居留权,1961年11月出生,毕业于北方交通大学计算机科学技术系,计算机硕士.曾任北京新鸿基东方科技发展有限公司副总经理.1999年6月至2001年6月任北京瑞斯康达科技发展有限公司总经理;2001年7月至2004年3月任北京瑞斯康达科技发展有限公司副总经理;2004年4月至2012年8月任瑞斯康达科技发展股份有限公司董事,副总经理;2012年9月至今任瑞斯康达科技发展股份有限公司董事;2011年12月至今任瑞斯康达国际有限公司董事;2012年5月至今任康迈国际贸易有限公司董事长.",CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
603803.SH,瑞斯康达,高磊,个人,"高磊,董事长,男,中国国籍,无境外永久居留权,1965年1月出生,毕业于北方交通大学,计算机硕士.曾任北京新鸿基东方科技发展有限公司工程师.1999年6月至2001年6月任北京瑞斯康达科技发展有限公司董事长;2001年7月至2008年6月任北京瑞斯康达科技发展股份有限公司董事,总经理;2008年7月至2010年12月任瑞斯康达科技发展股份有限公司董事长,总经理;2011年1月至今任瑞斯康达科技发展股份有限公司董事长;2011年9月至今任北京比邻信通科技有限责任公司董事长;2011年12月至今任瑞斯康达国际有限公司董事长;2015年1月至今任西安抱朴通信科技有限公司执行董事.",CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
603803.SH,瑞斯康达,冯雪松,个人,"冯雪松,监事会主席,男,中国国籍,无境外永久居留权,1971年11月出生,毕业于长春大学工业电子系,专科学历.曾就职于长春电话设备厂.2001年7月至2008年6月任北京瑞斯康达科技发展有限公司监事;2008年7月至今任瑞斯康达科技发展股份有限公司监事会主席;2011年12月至今任瑞斯康达国际有限公司董事.",CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
603803.SH,瑞斯康达,李月杰,个人,"李月杰,董事,男,中国国籍,无境外永久居留权,1965年5月出生,毕业于长春邮电学院,计算机学士.曾任北京市鸿天通信科技开发公司总经理.1999年6月至2001年6月任北京瑞斯康达科技发展有限公司董事;2001年7月至2012年8月任瑞斯康达科技发展股份有限公司董事,副总经理;2012年9月至今任瑞斯康达科技发展股份有限公司董事;2011年12月至今任瑞斯康达国际有限公司董事;2012年5月至今任康迈国际贸易有限公司董事.",CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
603803.SH,瑞斯康达,朱春城,个人,"朱春城,副董事长,男,中国国籍,无境外永久居留权,1951年1月出生,毕业于中央广播电视大学企业管理系,高级经济师.曾任长春邮电电话设备厂副厂长;中国邮电工业总公司长春公司总经理;中国巨龙通信设备有限公司副总裁.2001年7月至2008年6月任北京瑞斯康达科技发展有限公司副董事长;2008年7月至2009年2月任瑞斯康达科技发展股份有限公司董事,副总经理;2009年3月至今任瑞斯康达科技发展股份有限公司副董事长;2011年12月至今任瑞斯康达国际有限公司董事;2013年1月至今任北京深蓝迅通科技有限责任公司执行董事.",CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
603806.SH,福斯特,林建华,个人,"林建华,男,中国国籍,1962年8月出生,中共党员,本科学历,高级工程师,拥有新加坡永久居留权.1990年获临安市科技成果四等奖,2008年获杭州市优秀新产品新技术一等奖,2007-2008年度杭州市成绩突出科技工作者.1982年至1994年在浙江临安化肥厂(国营)先后任技术员,技术科长,副厂长;1994年至1998年任杭州永丰塑料有限公司经理;1998年至2003年任临安天目高分子材料厂副厂长;2003年至2009年12月任福斯特有限董事长兼总经理;2009年12月至2011年7月任发行人董事长兼总经理.现任公司董事长.",CSRC橡胶和塑料制品业,Wind半导体与半导体生产设备
603808.SH,歌力思,夏国新,个人,"夏国新,中国国籍,1968年生,拥有香港居民身份证和冈比亚共和国永久居留权.天津纺织工学院产品设计专业学士,服装专业硕士,中欧国际工商学院EMBA.1993年至1995年任职于深圳市龙飞纺织有限公司,1996年起任歌力思设计董事长,1999年创立歌力思实业,现任公司董事长,总经理兼设计研发中心总监,歌力思投资执行董事,歌力思国际董事,中国服装协会副会长,中国流行色协会副会长,深圳市时尚设计师协会会长,北京服装学院顾问教授,深圳大学艺术设计学院客座教授,2011年当选深圳经济特区30年行业领军人物,2012年中国纺织年度创新人物.",CSRC纺织服装、服饰业,Wind耐用消费品与服装
603808.SH,歌力思,胡咏梅,个人,"胡咏梅,中国国籍,1970年生,拥有香港居民身份证和冈比亚共和国永久居留权.天津纺织工学院针织专业学士.1994年至1995年就职于深圳市龙飞纺织有限公司,1995年至1997年任职于深圳安莉芳服装实业有限公司,1999年加入歌力思实业,现任公司董事,歌力思投资监事,歌力思国际董事.",CSRC纺织服装、服饰业,Wind耐用消费品与服装
603811.SH,诚意药业,颜贻意,个人,颜贻意先生1949年生，中国国籍，无境外永久居留权，大专学历，高级经营师。历任洞头县铜山制药厂厂长，温州市第三制药厂厂长，浙江诚意药业有限公司董事长、总经理，温三药进出口执行董事兼总经理；现任浙江诚意药业股份有限公司董事长，江苏诚意药业有限公司执行董事，温州市洞头区诚意小额贷款股份有限公司董事长、温州市利祥动物实验研究所董事长。颜贻意先生曾获2011年度浙江省中小企业优秀企业家、2013年度温州市优秀企业家、2014年度温州市功勋企业家、2015年度温州市优秀企业家称号。,CSRC医药制造业,Wind制药、生物科技与生命科学
603816.SH,顾家家居,顾玉华,个人,"中国国籍,身份证号码:33262519491005****,住所:浙江省天台县白鹤镇邢顾村",CSRC家具制造业,Wind耐用消费品与服装
603816.SH,顾家家居,顾江生,个人,"1973年10月出生,中国国籍,无境外居留权,工商管理硕士.曾担任中国家具协会副理事长,中国家具协会沙发专业委员会主席团执行主席,全国工商联家居装饰业商会副会长,浙江家具协会副理事长,杭州市政协委员,杭州市人大代表等职务.曾荣获“中国家居业双年度精英人物”,“2011浙江经济年度人物”等荣誉称号.历任浙江树人大学教师,海龙家私总经理,顾家工艺总经理,庄盛家具总经理,顾家家居董事长兼总裁.现任顾家集团执行董事兼总经理,顾家实业执行董事兼总经理,双胜咨询执行董事兼总经理,双润科技执行董事兼总经理,双华包装执行董事兼总经理,顾家集团香港董事,圣诺盟海绵董事,TB Home Limited董事,本公司董事长.",CSRC家具制造业,Wind耐用消费品与服装
603816.SH,顾家家居,王火仙,个人,"中国国籍,身份证号码:33262519511214****,住所:浙江省天台县白鹤镇邢顾村",CSRC家具制造业,Wind耐用消费品与服装
